id,feedback,categoria,sentimento,prioridade
1,"O aplicativo trava toda vez que tento fazer Pix.","Pix e aplicativo","Negativo","Alta"
2,"O atendimento no chat demorou muito para responder.","Atendimento","Negativo","Alta"
3,"Gostei da facilidade para consultar meu saldo e extrato.","Aplicativo","Positivo","Baixa"
4,"As taxas do cartao de credito sao muito altas.","Cartao e tarifas","Negativo","Media"
5,"Recebi alerta de seguranca rapidamente apos uma tentativa suspeita.","Seguranca","Positivo","Baixa"
6,"Meu Pix ficou pendente e nao recebi explicacao clara.","Pix e transferencias","Negativo","Alta"
7,"O app e simples de usar e consigo pagar boletos rapidamente.","Aplicativo","Positivo","Baixa"
8,"Tive dificuldade para aumentar o limite do cartao.","Cartao","Negativo","Media"
9,"O login por biometria falha com frequencia.","Aplicativo","Negativo","Media"
10,"O suporte resolveu meu problema, mas demorou mais do que eu esperava.","Atendimento","Neutro","Media"
11,"Nao entendi a cobranca de uma tarifa na minha conta.","Tarifas","Negativo","Media"
12,"A transferencia TED foi concluida sem problemas.","Transferencias","Positivo","Baixa"
13,"Meu cartao foi bloqueado sem uma explicacao detalhada.","Seguranca e cartao","Negativo","Alta"
14,"Gostei dos avisos de compra em tempo real.","Seguranca","Positivo","Baixa"
15,"O aplicativo fica lento no fim do mes.","Aplicativo","Negativo","Media"
16,"O menu de investimentos poderia ser mais claro para iniciantes.","Aplicativo","Neutro","Baixa"
17,"O atendente encerrou o chat antes de resolver minha duvida.","Atendimento","Negativo","Alta"
18,"Consegui contestar uma compra pelo app de forma facil.","Cartao","Positivo","Baixa"
19,"Falta uma explicacao melhor quando uma transacao Pix da erro.","Pix e transferencias","Negativo","Alta"
20,"O telefone de atendimento me deixou esperando por muitos minutos.","Atendimento","Negativo","Media"

